news_title,news_category,created_at,scrapped_at,url,image
BSI Buka Layanan Weekend Banking di 504 Cabang Selama September 2024,MONEY,07-09-2024,2024-09-08 07:04:01,https://money.kompas.com/read/2024/09/07/202210326/bsi-buka-layanan-weekend-banking-di-504-cabang-selama-september-2024,https://asset.kompas.com/crops/tX03HAfHRInLgfcsQNevb0_9trM=/0x32:1000x699/230x152/data/photo/2023/11/30/65688bd57ad68.jpg
Pramono Anung Bakal Adopsi Program Aduan Masyarakat Milik Ahok,NEWS,07-09-2024,2024-09-08 07:04:01,https://megapolitan.kompas.com/read/2024/09/07/20184921/pramono-anung-bakal-adopsi-program-aduan-masyarakat-milik-ahok,https://asset.kompas.com/crops/ipd6BDO7zr-1tw79xxEUU0yeEhU=/0x0:0x0/230x152/data/photo/2022/10/18/634e02bd8df87.jpg
"Live Sprint Race MotoGP San Marino 2024, Diggia dan Bezzecchi Terjatuh",OTOMOTIF,07-09-2024,2024-09-08 07:04:02,https://otomotif.kompas.com/read/2024/09/07/201838915/live-sprint-race-motogp-san-marino-2024-diggia-dan-bezzecchi-terjatuh,https://asset.kompas.com/crops/vcTfZOd_YX0vFnz2jRVesYfKlb4=/80x53:719x480/230x152/data/photo/2024/05/29/66571217f036d.jpg
Kim Soo Hyun Buka Fan Meeting dengan Menyanyikan Soundtrack Drama Queen of Tears,HYPE,07-09-2024,2024-09-08 07:04:03,https://www.kompas.com/hype/read/2024/09/07/201302866/kim-soo-hyun-buka-fan-meeting-dengan-menyanyikan-soundtrack-drama-queen-of,https://asset.kompas.com/crops/ngdnksc-quWgXnyF-AviHNNYjxc=/0x0:0x0/230x152/data/photo/2024/09/07/66dc4d0436649.jpg
"Respons Foto Viral, Dinkes Tegaskan Tak Ada Kasus Cacar Monyet di Brebes",REGIONAL,07-09-2024,2024-09-08 07:04:03,https://regional.kompas.com/read/2024/09/07/201235678/respons-foto-viral-dinkes-tegaskan-tak-ada-kasus-cacar-monyet-di-brebes,https://asset.kompas.com/crops/A74LHKtng_OhZf7UqsW7piRTz18=/0x0:0x0/230x152/data/photo/2024/09/07/66dc348b0c481.jpg
"Paus Fransiskus Cium Tangan Imam Besar Istiqlal, Uskup Agung: Belum Pernah Lihat Gestur Bersahabat Sedalam Itu",NEWS,07-09-2024,2024-09-08 07:04:04,https://nasional.kompas.com/read/2024/09/07/20104291/paus-fransiskus-cium-tangan-imam-besar-istiqlal-uskup-agung-belum-pernah,https://asset.kompas.com/crops/xxFZAcdiDxpVKVk-Oj_n5nZjJ8k=/0x0:0x0/230x152/data/photo/2024/09/07/66dc433f1ded4.jpeg
"Sambangi Lomba Senam Sehat, Andra Soni Minta Doa dan Dukungan Masyarakat Banten",REGIONAL,07-09-2024,2024-09-08 07:04:04,https://regional.kompas.com/read/2024/09/07/200555878/sambangi-lomba-senam-sehat-andra-soni-minta-doa-dan-dukungan-masyarakat,https://asset.kompas.com/crops/49GDF6C2wjB0eMp3YUjym28sZ5s=/154x0:1837x1122/230x152/data/photo/2024/09/07/66dc498822cfe.jpeg
"Perum Bulog Buka Lowongan Kerja untuk Lulusan SMA-S1, Simak Persyaratannya",MONEY,07-09-2024,2024-09-08 07:04:05,https://money.kompas.com/read/2024/09/07/200440726/perum-bulog-buka-lowongan-kerja-untuk-lulusan-sma-s1-simak-persyaratannya,https://asset.kompas.com/crops/YP9ApdLY8eow2aWzGPK4UZ2Kp8M=/0x0:650x433/230x152/data/photo/2024/09/07/66dc4eea2b20f.png
Petenis Eugenie Bouchard Saksikan Rencana Pembangunan 6 Lapangan Padel Berstandar Internasional,BOLA,07-09-2024,2024-09-08 07:04:05,https://www.kompas.com/sports/read/2024/09/07/20040238/petenis-eugenie-bouchard-saksikan-rencana-pembangunan-6-lapangan-padel,https://asset.kompas.com/crops/WYNX8jOIsNsmmz7cf3mz-BZ3MSQ=/0x0:1500x1000/230x152/data/photo/2024/09/07/66dc49bb73935.jpg
"Putra Totti Dihina karena Bentuk Tubuh, Dibela Kiper Juara Piala Dunia",BOLA,07-09-2024,2024-09-08 07:04:06,https://bola.kompas.com/read/2024/09/07/20001038/putra-totti-dihina-karena-bentuk-tubuh-dibela-kiper-juara-piala-dunia,https://asset.kompas.com/crops/wgPavQEC3Qd55pP0BjI_H26fGb0=/0x119:691x579/230x152/data/photo/2024/09/07/66dc4a996a31b.jpg
Haruskah Menggunakan Pelembut Kain untuk Menghaluskan Handuk?,HOMEY,07-09-2024,2024-09-08 07:04:06,https://www.kompas.com/homey/read/2024/09/07/200000176/haruskah-menggunakan-pelembut-kain-untuk-menghaluskan-handuk-,https://asset.kompas.com/crops/nBFVVPx9XAnGMTvw5j0P2WmSwGQ=/0x14:960x655/230x152/data/photo/2024/04/15/661d28ff8d6e3.jpg
"Aliran Modal Asing Keluar RI Tembus Rp 2,49 Triliun dalam Sepekan",MONEY,07-09-2024,2024-09-08 07:04:07,https://money.kompas.com/read/2024/09/07/200000026/aliran-modal-asing-keluar-ri-tembus-rp-2-49-triliun-dalam-sepekan,https://asset.kompas.com/crops/38wa1lW4wfz6p1PWiwikpbW_SUA=/0x0:780x390/230x152/data/photo/2012/01/18/1146007780x390.jpg
